Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 20:37:24 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -file hdl_128_1_1_2/utilization_hier.post_pr.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
-------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|               Instance               |           Module           | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|       casServers_20                  |        contAddrServer_1199 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_21                  |        contAddrServer_1200 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_22                  |        contAddrServer_1201 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_23                  |        contAddrServer_1202 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_24                  |        contAddrServer_1203 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_25                  |        contAddrServer_1204 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_26                  |        contAddrServer_1205 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_27                  |        contAddrServer_1206 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_28                  |        contAddrServer_1207 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_29                  |        contAddrServer_1208 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_3                   |        contAddrServer_1209 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_30                  |        contAddrServer_1210 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_31                  |        contAddrServer_1211 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_32                  |        contAddrServer_1212 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_33                  |        contAddrServer_1213 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_34                  |        contAddrServer_1214 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_35                  |        contAddrServer_1215 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_36                  |        contAddrServer_1216 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_37                  |        contAddrServer_1217 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_38                  |        contAddrServer_1218 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_39                  |        contAddrServer_1219 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_4                   |        contAddrServer_1220 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_40                  |        contAddrServer_1221 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_41                  |        contAddrServer_1222 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_42                  |        contAddrServer_1223 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_43                  |        contAddrServer_1224 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_44                  |        contAddrServer_1225 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
|       casServers_45                  |        contAddrServer_1226 |          0 |          0 |       0 |    0 |     65 |      0 |      0 |    0 |          0 |
